Product Name,Original Price,Rating
"vivo T4x 5G (Marine Blue, 128 GB)","₹14,499",4.4
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹31,999",4.3
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","₹9,749",4.4
"realme P4 5G (Steel Grey, 256 GB)","₹19,999",4.4
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)","₹17,999",4.4
"Google Pixel 9A (Porcelain, 256 GB)","₹44,999",4.4
"realme 15x 5G (Aqua Blue, 128 GB)","₹17,499",4.4
"realme 15x 5G (Maroon Red, 128 GB)","₹17,499",4.4
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","₹22,999",4.4
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","₹20,999",4.4
"POCO X7 Pro 5G (Yellow, 256 GB)","₹21,999",4.3
"Motorola Edge 50 Fusion (Forest Green, 128 GB)","₹18,999",4.4
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹31,999",4.3
"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)","₹27,999",4.3
"POCO M7 Pro 5G (Olive Twilight, 128 GB)","₹11,999",4.3
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","₹22,999",4.4
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)","₹19,999",4.5
"Motorola Edge 50 Fusion (Forest Green, 128 GB)","₹18,999",4.4
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","₹20,999",4.4
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)","₹17,999",4.4
"POCO X7 Pro 5G (Yellow, 256 GB)","₹21,999",4.3
"realme 15x 5G (Marine Blue, 128 GB)","₹18,999",4.3
"CMF by Nothing Phone 2 Pro (Black, 256 GB)","₹19,999",4.4
"POCO M7 Plus 5G (Carbon Black, 128 GB)","₹13,999",4.3
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)","₹17,999",4.5
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹9,999",4.1
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 256 GB)","₹19,999",4.4
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹11,999",4.2
"POCO F7 5G (Cyber Silver Edition, 256 GB)","₹30,999",4.4
"vivo T4x 5G (Glacial Teal, 256 GB)","₹17,499",4.4
"POCO X7 5G (Glacier Green, 256 GB)","₹17,999",4.3
"Samsung M06 5G (Sage Green, 128 GB)","₹11,445",3.9
"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)","₹17,999",4.4
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹13,999",4.2
"realme P4 5G (Forge Red, 128 GB)","₹17,999",4.4
"vivo T4R 5G (Arctic White, 256 GB)","₹23,499",4.4
"Google Pixel 9A (Obsidian, 256 GB)","₹44,999",4.4
"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)","₹17,999",4.4
"CMF by Nothing Phone 2 Pro (White, 256 GB)","₹19,999",4.4
"POCO M7 5G (Mint Green, 128 GB)","₹9,999",4.2
"Infinix Note 50s 5G+ (Marine Drift, 128 GB)","₹15,999",4.4
"CMF by Nothing Phone 2 Pro (White, 128 GB)","₹17,999",4.4
"CMF by Nothing Phone 2 Pro (Light Green, 256 GB)","₹19,999",4.4
"POCO M6 Plus 5G (Graphite Black, 128 GB)","₹10,834",4.2
"Samsung Galaxy A16 5G (Light Green, 128 GB)","₹13,850",4.2
"POCO M7 5G (Ocean Blue, 128 GB)","₹9,999",4.2
"Nothing Phone (3a) (Black, 256 GB)","₹26,999",4.5
"Samsung Galaxy A06 5G (Black, 128 GB)","₹10,080",4.1
